time,x0,x1,x2,x3,x4,x5
4.78,3.083889600478816e-10,3.528697995256224e-10,4.848231138660032e-10,1.4857438483037762e-15,1.9030352273378688e-08,1e-05
4.782,3.083058720102057e-10,3.5282200497041487e-10,4.847161287998971e-10,1.48524550132391e-15,1.903056624400925e-08,1e-05
4.784,3.082228371342385e-10,3.52774234585935e-10,4.846092089808806e-10,1.4847471197004007e-15,1.9030780084145662e-08,1e-05
4.7860000000000005,3.08139855375999e-10,3.5272648835470685e-10,4.845023543562428e-10,1.4842486881030444e-15,1.9030993793893364e-08,1e-05
4.788,3.08056926691657e-10,3.526787662592928e-10,4.843955648734424e-10,1.4837501909979071e-15,1.9031207373357465e-08,1e-05
4.79,3.079740510375332e-10,3.5263106828229314e-10,4.84288840480108e-10,1.483251612647323e-15,1.9031420822642715e-08,1e-05
4.792,3.078912283700992e-10,3.5258339440634655e-10,4.841821811240384e-10,1.4827529371098972e-15,1.903163414185352e-08,1e-05
4.7940000000000005,3.078084586459772e-10,3.5253574461413e-10,4.840755867532025e-10,1.4822541482405032e-15,1.9031847331093985e-08,1e-05
4.796,3.077257418219407e-10,3.524881188883582e-10,4.839690573157394e-10,1.4817552296902852e-15,1.9032060390467826e-08,1e-05
4.798,3.0764307785491367e-10,3.5244051721178464e-10,4.838625927599579e-10,1.4812561649066557e-15,1.9032273320078454e-08,1e-05
4.8,3.0756046670197113e-10,3.523929395672004e-10,4.837561930343373e-10,1.480756937133298e-15,1.903248612002892e-08,1e-05
4.8020000000000005,3.074779083203389e-10,3.523453859374352e-10,4.836498580875263e-10,1.4802575294101637e-15,1.903269879042195e-08,1e-05
4.804,3.073954010414367e-10,3.5229785585024977e-10,4.835435860142618e-10,1.4797590688538498e-15,1.9032911335066938e-08,1e-05
4.806,3.07312937199114e-10,3.5225034715467473e-10,4.834373680702343e-10,1.4792669033219188e-15,1.9033123771447157e-08,1e-05
4.808,3.072305251814122e-10,3.5220286219332146e-10,4.833312138177663e-10,1.4787750823070666e-15,1.9033336080443914e-08,1e-05
4.8100000000000005,3.071481649187738e-10,3.521554009415064e-10,4.83225123174958e-10,1.4782836073079427e-15,1.9033548262221004e-08,1e-05
4.812,3.0706585634142163e-10,3.5210796337448103e-10,4.831190960596567e-10,1.4777924798802602e-15,1.9033760316942735e-08,1e-05
4.814,3.069835993793589e-10,3.520605494674308e-10,4.830131323894581e-10,1.4773017016367951e-15,1.9033972244773908e-08,1e-05
4.816,3.069013939623691e-10,3.5201315919547594e-10,4.829072320817044e-10,1.4768112742473874e-15,1.903418404587984e-08,1e-05
4.8180000000000005,3.068192400200158e-10,3.5196579253367085e-10,4.828013950534861e-10,1.4763211994389401e-15,1.9034395720426354e-08,1e-05
4.82,3.067371374816431e-10,3.519184494570047e-10,4.826956212216405e-10,1.4758314789954206e-15,1.9034607268579763e-08,1e-05
4.822,3.066550862763752e-10,3.518711299404008e-10,4.825899105027527e-10,1.4753421147578594e-15,1.9034818690506903e-08,1e-05
4.824,3.0657308633311664e-10,3.518238339587174e-10,4.824842628131556e-10,1.4748531086243504e-15,1.9035029986375102e-08,1e-05
4.8260000000000005,3.064911375805524e-10,3.5177656148674655e-10,4.823786780689289e-10,1.4743644625500512e-15,1.9035241156352202e-08,1e-05
4.828,3.064092399471475e-10,3.517293124992154e-10,4.822731561859004e-10,1.4738761785471834e-15,1.9035452200606542e-08,1e-05
4.83,3.0632739336114747e-10,3.51682086970785e-10,4.821676970796452e-10,1.4733882586850314e-15,1.903566311930697e-08,1e-05
4.832,3.06245597750578e-10,3.516348848760513e-10,4.820623006654857e-10,1.4729007050899434e-15,1.9035873912622843e-08,1e-05
4.8340000000000005,3.0616385304324503e-10,3.515877061895445e-10,4.819569668584918e-10,1.472413519945331e-15,1.9036084580724015e-08,1e-05
4.836,3.0608215916673485e-10,3.515405508857293e-10,4.818516955734814e-10,1.4719267054916704e-15,1.9036295123780846e-08,1e-05
4.838,3.060005160484141e-10,3.514934189390049e-10,4.817464867250191e-10,1.4714402640265003e-15,1.9036505541964216e-08,1e-05
4.84,3.059189236154296e-10,3.51446310323705e-10,4.816413402274178e-10,1.470954197904423e-15,1.9036715835445482e-08,1e-05
4.8420000000000005,3.058373817947084e-10,3.5139922501409744e-10,4.815362559947369e-10,1.4704685095371044e-15,1.9036926004396534e-08,1e-05
4.844,3.057558905129581e-10,3.5135216298438497e-10,4.814312339407845e-10,1.4699832013932746e-15,1.9037136048989743e-08,1e-05
4.846,3.0567444969666637e-10,3.513051242087045e-10,4.813262739791152e-10,1.4694982759987265e-15,1.9037345969398008e-08,1e-05
4.848,3.055930592721011e-10,3.5125810866112757e-10,4.812213760230315e-10,1.4690137359363169e-15,1.9037555765794714e-08,1e-05
4.8500000000000005,3.055117191653106e-10,3.5121111631566e-10,4.811165399855832e-10,1.468529583845966e-15,1.903776543835376e-08,1e-05
4.852,3.0543042930212354e-10,3.511641471462423e-10,4.81011765779568e-10,1.4680458224246579e-15,1.9037974987249557e-08,1e-05
4.854,3.0534918960814867e-10,3.511172011267491e-10,4.809070533175307e-10,1.4675624544264398e-15,1.9038184412656996e-08,1e-05
4.856,3.052680000087753e-10,3.510702782309899e-10,4.808024025117636e-10,1.4670794826624228e-15,1.9038393714751505e-08,1e-05
4.8580000000000005,3.051868604291727e-10,3.5102337843270843e-10,4.806978132743065e-10,1.4665969100007813e-15,1.9038602893708987e-08,1e-05
4.86,3.051057707942907e-10,3.5097650170558297e-10,4.805932855169472e-10,1.4661147393667532e-15,1.903881194970588e-08,1e-05
4.862,3.0502473102885916e-10,3.509296480232261e-10,4.8048881915122e-10,1.4656329737426407e-15,1.90390208829191e-08,1e-05
4.864,3.0494374105738854e-10,3.50882817359185e-10,4.803844140884076e-10,1.4651516161678082e-15,1.903922969352608e-08,1e-05
4.866,3.0486280080416926e-10,3.508360096869412e-10,4.802800702395396e-10,1.464670669738685e-15,1.903943838170476e-08,1e-05
4.868,3.0478191019327234e-10,3.50789224979911e-10,4.801757875153936e-10,1.4641901376087628e-15,1.9039646947633588e-08,1e-05
4.87,3.0470106914854877e-10,3.507424632114447e-10,4.800715658264943e-10,1.463710022988598e-15,1.9039855391491505e-08,1e-05
4.872,3.0462027759363005e-10,3.506957243548273e-10,4.799674050831138e-10,1.4632303291458102e-15,1.9040063713457956e-08,1e-05
4.874,3.045395354519279e-10,3.506490083832783e-10,4.79863305195272e-10,1.4627510594050815e-15,1.904027191371291e-08,1e-05
4.876,3.044588426466344e-10,3.506023152699516e-10,4.797592660727362e-10,1.4622722171481592e-15,1.9040479992436828e-08,1e-05
4.878,3.043781991007218e-10,3.5055564498793574e-10,4.796552876250213e-10,1.461793805813853e-15,1.9040687949810662e-08,1e-05
4.88,3.042976047369426e-10,3.505089975102533e-10,4.795513697613893e-10,1.4613158288980363e-15,1.9040895786015904e-08,1e-05
4.882,3.0421705947782967e-10,3.5046237280986157e-10,4.794475123908501e-10,1.4608382899536467e-15,1.9041103501234527e-08,1e-05
4.884,3.041365632456963e-10,3.5041577085965246e-10,4.793437154221608e-10,1.460361192590685e-15,1.9041311095649003e-08,1e-05
4.886,3.040561159626358e-10,3.503691916324521e-10,4.792399787638261e-10,1.4598845404762148e-15,1.9041518569442322e-08,1e-05
4.888,3.039757175505219e-10,3.503226351010212e-10,4.791363023240984e-10,1.4594083373343645e-15,1.9041725922797984e-08,1e-05
