model,nmse_0,nmse_1,nmse_2,nmse_3,nmse_4,nmse_5,nmse_mean,data_file,equation,debias_threshold,model_alpha,weight_eps,weight_std
166_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,19.922733052162783,4.4449784710683543e-07,0.01
207_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,927.8933539638202,0.055548591807154254,0.1
1_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,286.52162191429545,3.323668111696107e-07,0.0
163_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13655.209039314652,0.034701335910491224,0.01
154_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,99.94844112826969,4.995812711851579e-06,0.01
70_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0690545431362753,5.278230456536132e-05,1e-05
149_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.05682963421204889,2.621017928780525e-05,0.001
61_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,286.52162191429545,3.323668111696107e-07,1e-05
57_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,927.8933539638202,0.055548591807154254,1e-06
121_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,286.52162191429545,3.323668111696107e-07,0.001
65_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.009808669434503627,0.0039522808482593125,1e-05
184_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,99.94844112826969,4.995812711851579e-06,0.1
147_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,927.8933539638202,0.055548591807154254,0.001
31_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,286.52162191429545,3.323668111696107e-07,1e-06
104_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,1.035332122467128e-06,6.461810446057677e-06,0.0001
19_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.206398496897977,6.550444410687666e-05,0.0
172_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,795261.8231250104,0.01586752352583566,0.01
88_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6002.28238334061,0.00022303628790345937,1e-05
79_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.206398496897977,6.550444410687666e-05,1e-05
102_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.24676368684401048,0.0003338180205189919,0.0001
7_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.8317284209433966e-06,3.301703102308238e-06,0.0
204_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,202630.7170037328,0.004043336833529763,0.1
182_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,188.19349978921883,0.0012137587328424069,0.1
159_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2466.160386850043,0.010342237509875594,0.01
125_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.009808669434503627,0.0039522808482593125,0.001
98_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.01888717029071998,1.6969191344518737e-07,0.0001
170_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0015436272481452666,0.0005076315792529729,0.01
100_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0690545431362753,5.278230456536132e-05,0.0001
190_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0690545431362753,5.278230456536132e-05,0.1
73_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13655.209039314652,0.034701335910491224,1e-05
101_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,7.986077504186377e-06,1.225378847302896e-07,0.0001
153_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.7039662430093773e-05,1.1263537238115918e-05,0.01
42_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.24676368684401048,0.0003338180205189919,1e-06
41_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,7.986077504186377e-06,1.225378847302896e-07,1e-06
208_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6002.28238334061,0.00022303628790345937,0.1
200_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0015436272481452666,0.0005076315792529729,0.1
82_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,795261.8231250104,0.01586752352583566,1e-05
49_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.206398496897977,6.550444410687666e-05,1e-06
109_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.206398496897977,6.550444410687666e-05,0.0001
165_model,292848.95434126473,28985.042918368472,173621.40139606956,8674488.419571139,181741.6348115402,4548165652.446318,759586222.983226,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00034364078868532217,0.007180389990094034,0.01
55_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6.170375743661441,0.09508538688996053,1e-06
114_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,202630.7170037328,0.004043336833529763,0.0001
186_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13.053743027024927,0.00010098468450572415,0.1
175_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6.170375743661441,0.09508538688996053,0.01
29_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.05682963421204889,2.621017928780525e-05,0.0
194_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,1.035332122467128e-06,6.461810446057677e-06,0.1
56_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,8.575795876872198e-05,9.440619113735458e-07,1e-06
