model,nmse_0,nmse_1,nmse_2,nmse_3,nmse_4,nmse_5,nmse_mean,data_file,equation,model_alpha,weight_eps,weight_std
136_model,323.0715997717805,556.5008960474876,22798.55876334217,4561691.6774847135,225.58508090887432,0.0,764265.8989707972,hydrogen_bromine_ode.csv,hydrogen_bromine,19.922733052162783,4.4449784710683543e-07,0.001
14_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1.035332122467128e-06,6.461810446057677e-06,0.0
190_model,162.086601823975,707.3817693951542,17314.91712311789,691477.488960019,57.921205257787356,0.0,118286.63260993564,hydrogen_bromine_ode.csv,hydrogen_bromine,0.0690545431362753,5.278230456536132e-05,0.1
139_model,365.1015649334193,1368.1388309429728,74875.95379848377,5907613.265840201,421.90264399889884,0.0,997440.7271130932,hydrogen_bromine_ode.csv,hydrogen_bromine,2.206398496897977,6.550444410687666e-05,0.001
9_model,322.39227272858744,558.5401699493688,22849.704500060303,4536827.05197829,226.31375482322454,0.0,760130.667112642,hydrogen_bromine_ode.csv,hydrogen_bromine,2466.160386850043,0.010342237509875594,0.0
169_model,364.51141408071896,1360.0286637907575,74384.52661574903,5873762.561738652,422.1789766979091,0.0,991715.6345681618,hydrogen_bromine_ode.csv,hydrogen_bromine,2.206398496897977,6.550444410687666e-05,0.01
41_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,7.986077504186377e-06,1.225378847302896e-07,1e-06
83_model,323.22228234786826,549.4695142932759,21980.72940775949,4607825.065024551,221.03276906186275,0.0,771816.5864996688,hydrogen_bromine_ode.csv,hydrogen_bromine,47963.634378534756,0.0020148991027690694,1e-05
193_model,324.2208032760881,552.4747053475801,22363.92981208905,4634933.011971966,222.9835576975919,0.0,776399.4368083961,hydrogen_bromine_ode.csv,hydrogen_bromine,13655.209039314652,0.034701335910491224,0.1
196_model,322.331600436308,554.6205251962994,22631.731950806698,4537659.099293547,226.38590428204833,0.0,760232.3615457114,hydrogen_bromine_ode.csv,hydrogen_bromine,19.922733052162783,4.4449784710683543e-07,0.1
187_model,0.009665764060628955,0.0012639450879623427,0.00046964581009897074,4.325869529611455,0.00035990198623575185,0.0,0.7229381310927301,hydrogen_bromine_ode.csv,hydrogen_bromine,2.8317284209433966e-06,3.301703102308238e-06,0.1
175_model,242.5152961229947,1282.6026071587492,35802.454260787934,1775639.7291233565,151.8483564184556,0.0,302186.5249406408,hydrogen_bromine_ode.csv,hydrogen_bromine,6.170375743661441,0.09508538688996053,0.01
191_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,7.986077504186377e-06,1.225378847302896e-07,0.1
77_model,320.10435687622555,608.5252207904767,21888.387801261357,4579704.011341594,219.53647934367098,0.0,767123.427533311,hydrogen_bromine_ode.csv,hydrogen_bromine,147895.6008985279,1.7210347976595495e-05,1e-05
19_model,364.49010164080255,1367.7501130923483,74524.3949371241,5859275.071235543,417.6621365168858,0.0,989324.8947539862,hydrogen_bromine_ode.csv,hydrogen_bromine,2.206398496897977,6.550444410687666e-05,0.0
71_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,7.986077504186377e-06,1.225378847302896e-07,1e-05
134_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1.035332122467128e-06,6.461810446057677e-06,0.001
90_model,265.78540780035746,1462.879571543167,42807.68475598667,2239150.081822709,189.93392812756787,0.0,380646.06091436115,hydrogen_bromine_ode.csv,hydrogen_bromine,0.7757786350021516,0.0009469378911995572,1e-05
92_model,329.9655710471611,604.3839487429454,27088.894879861582,4773691.400453808,247.10715111169932,0.0,800326.9586674286,hydrogen_bromine_ode.csv,hydrogen_bromine,188.19349978921883,0.0012137587328424069,0.0001
49_model,364.4900884304677,1367.749543618727,74524.36184062088,5859273.794631066,417.6622059843808,0.0,989324.6763849534,hydrogen_bromine_ode.csv,hydrogen_bromine,2.206398496897977,6.550444410687666e-05,1e-06
130_model,144.06466996073138,617.1653356810125,14397.537256072354,543464.4834157638,44.15259907611076,0.0,93111.23387942568,hydrogen_bromine_ode.csv,hydrogen_bromine,0.0690545431362753,5.278230456536132e-05,0.001
132_model,191.44745785864393,913.9524393688062,23267.77092324359,1013349.8227124738,86.34364684565476,0.0,172968.2228632984,hydrogen_bromine_ode.csv,hydrogen_bromine,0.24676368684401048,0.0003338180205189919,0.001
62_model,329.96713329344095,604.3904339826701,27089.529074697366,4773739.890517477,247.11008866477283,0.0,800335.1478746859,hydrogen_bromine_ode.csv,hydrogen_bromine,188.19349978921883,0.0012137587328424069,1e-05
